,Lyrics,Title,Year,Genre
0,NONE,NONE,NONE,Rock
1,NONE,NONE,NONE,Rock
2,I waited patiently for the Lord He inclined and heard my cry He brought me up out of the pit Out of the mire and clay  I will sing  sing a new song I will sing  sing a new song  How long to sing this song How long to sing this song How long  how long  how long How long  to sing this song  He set my feet upon a rock And made my footsteps firm Many will see Many will see and fear  I will sing  sing a new song I will sing  sing a new song  I will sing  sing a new song I will sing  sing a new song  How long to sing this song How long to sing this song How long  how long  how long How long  to sing this song,"""40""",1991,Rock
3,I waited patiently for the Lord He inclined and heard my cry He brought me up out of the pit Out of the mire and clay  I will sing  sing a new song I will sing  sing a new song  How long to sing this song How long to sing this song How long  how long  how long How long  to sing this song  He set my feet upon a rock And made my footsteps firm Many will see Many will see and fear  I will sing  sing a new song I will sing  sing a new song  I will sing  sing a new song I will sing  sing a new song  How long to sing this song How long to sing this song How long  how long  how long How long  to sing this song,"""40""",1987,Rock
4,"(Sing this with me  this is ""40"")

Waited patiently for the Lord
Inclined and heard my cry
He lift me up out of the pit
Out of the mire and clay

I will sing  sing a new song
I will sing  sing a new song

How long to sing this song?
How long to sing this song?
How long  how long  how long
How long to sing this song?

He set my feet upon a rock
And made my footsteps firm
Many will see
Many will see and hear

I will sing  sing a new song
I will sing  sing a new song

(Sing it)

How long to sing this song?
How long to sing this song?
How long  how long  how long
How long to sing this song?

Thank you  good night!

(How long to sing this song?)
(How long to sing this song?)
(How long to sing this song?)
(How long to sing this song?)
(How long to sing this song?)
(How long to sing this song?)
(How long to sing this song?)","""40""",1983,Rock
5,NONE,NONE,NONE,Rock
6,NONE,NONE,NONE,Rock
7,NONE,NONE,NONE,Rock
8,"Have you seen my hands?
Just look at 'em shake.
And the song just keeps on repeating 
Drop the needle again.
And I dance with your ghost 
Oh  but that ain't the way 
I can't move on and I can't stay the same.

And all my friends say

""Hey hey  turn the record over.
Hey hey  and I'll see you on the flip side.
There you go  turn the key and engine over.
Let her go  let somebody else lay at her feet.""

Have you seen my heart 
Have you seen how it bleeds?
And the nights are so long  baby 
Out here in the deep.
The tick  ticking of hours  lonely.
I hear the alarm
I used to hear when she would sleep in my arms.

But ""better sense"" says

""Hey hey  turn the record over.
Hey hey  and I'll see you on the flip side.
There you go  turn the key and engine over.
Let her go  let somebody else lay at her feet.""

And all my friends say 
""Hey hey  turn the record over.
Hey hey  and I'll see you on the flip side.
There you go  turn the key and engine over.
Let her go  let somebody else lay at her feet.""

Where you used to be  where you used to be  where you used to be  here with me.","""45""",2012,Rock
9,The love line is never straight and narrow Unless your love is tried and true We take a chance with new beginnings Still we try win or lose Take the highs with the blues  Always one more You're never satisfied Share one for all with you It's only one for me Ah  why draw the line And meet you half the way And you don't know What the means  oh yeah  I feel like a running politician  oh Just trying to please you all the time I've given you myself with no conditions Going wide  running long Feeling lost but not for long  Always one more You're never satisfied Share one for all with you It's only one for me So why draw the line Meet you half the way When you don't know What that means  oh yeah  Always one more You're never satisfied Share one for all with you It's only one for me So why draw the line And meet you half the way When you don't know What that means  I'll meet you half the way Whoa yeah I'll meet you half the way Whoa yeah,"""5150""",1986,Rock
